run,i_mean_mA,p_avg_mW,latency_ms,energy_mJ,samples
1,79.017,260.755,75.93,19.799,309664
2,79.307,261.715,75.93,19.872,310496
3,79.279,261.620,75.93,19.865,310656
4,79.402,262.028,75.93,19.896,310080
5,79.496,262.336,75.93,19.919,310624
6,79.526,262.436,75.93,19.927,310400
7,79.370,261.923,75.93,19.888,310240
8,79.471,262.256,75.93,19.913,310528
9,79.196,261.346,75.93,19.844,310560
10,79.458,262.210,75.93,19.910,310272
