run,i_mean_mA,p_avg_mW,latency_ms,energy_mJ,samples
1,75.251,248.327,252.48,62.698,309600
2,75.493,249.126,252.48,62.899,310560
3,75.516,249.204,252.48,62.919,310656
4,75.686,249.765,252.48,63.061,310464
5,75.584,249.428,252.48,62.975,310400
6,75.741,249.946,252.48,63.106,310400
7,75.676,249.731,252.48,63.052,310304
8,75.788,250.101,252.48,63.146,310432
9,75.958,250.663,252.48,63.287,310528
10,75.777,250.065,252.48,63.136,310304
