run,i_mean_mA,p_avg_mW,latency_ms,energy_mJ,samples
1,80.681,266.247,130.03,34.620,309472
2,80.630,266.079,130.03,34.598,310432
3,80.810,266.672,130.03,34.675,310592
4,80.746,266.463,130.03,34.648,310272
5,80.760,266.509,130.03,34.654,310400
6,80.858,266.830,130.03,34.696,310528
7,80.944,267.116,130.03,34.733,310304
8,80.865,266.856,130.03,34.699,310304
9,80.962,267.175,130.03,34.741,310592
10,81.073,267.542,130.03,34.789,310656
